time,measurement_value
2025-02-28T06:25:00Z,997.0
2025-02-28T06:26:00Z,1120.0
2025-02-28T06:27:00Z,1142.0
2025-02-28T06:28:00Z,1084.0
2025-02-28T06:29:00Z,1096.0
2025-02-28T06:30:00Z,1023.0
2025-02-28T06:31:00Z,974.0
2025-02-28T06:32:00Z,941.0
2025-02-28T06:33:00Z,888.0
2025-02-28T06:34:00Z,768.0
2025-02-28T06:35:00Z,1072.0
2025-02-28T06:36:00Z,941.0
2025-02-28T06:37:00Z,904.0
2025-02-28T06:38:00Z,752.0
2025-02-28T06:39:00Z,779.0
2025-02-28T06:40:00Z,815.0
2025-02-28T06:41:00Z,731.0
2025-02-28T06:42:00Z,828.0
2025-02-28T06:43:00Z,812.0
2025-02-28T06:44:00Z,991.0
2025-02-28T06:45:00Z,957.0
2025-02-28T06:46:00Z,901.0
2025-02-28T06:47:00Z,1033.0
2025-02-28T06:48:00Z,823.0
2025-02-28T06:49:00Z,957.0
2025-02-28T06:50:00Z,845.0
2025-02-28T06:51:00Z,827.0
2025-02-28T06:52:00Z,923.0
2025-02-28T06:53:00Z,997.0
2025-02-28T06:54:00Z,948.0
2025-02-28T06:55:00Z,944.0
2025-02-28T06:56:00Z,884.0
2025-02-28T06:57:00Z,914.0
2025-02-28T06:58:00Z,776.0
2025-02-28T06:59:00Z,944.0
2025-02-28T07:00:00Z,1131.0
2025-02-28T07:01:00Z,944.0
2025-02-28T07:02:00Z,879.0
2025-02-28T07:03:00Z,905.0
2025-02-28T07:04:00Z,1028.0
2025-02-28T07:05:00Z,921.0
2025-02-28T07:06:00Z,974.0
2025-02-28T07:07:00Z,906.0
2025-02-28T07:08:00Z,881.0
2025-02-28T07:09:00Z,993.0
2025-02-28T07:10:00Z,1006.0
2025-02-28T07:11:00Z,769.0
2025-02-28T07:12:00Z,747.0
2025-02-28T07:13:00Z,806.0
2025-02-28T07:14:00Z,919.0
2025-02-28T07:15:00Z,988.0
2025-02-28T07:16:00Z,917.0
2025-02-28T07:17:00Z,930.0
2025-02-28T07:18:00Z,1066.0
2025-02-28T07:19:00Z,857.0
2025-02-28T07:20:00Z,904.0
2025-02-28T07:21:00Z,869.0
2025-02-28T07:22:00Z,947.0
2025-02-28T07:23:00Z,821.0
2025-02-28T07:24:00Z,642.0
2025-02-28T07:25:00Z,573.0
2025-02-28T07:26:00Z,717.0
2025-02-28T07:27:00Z,786.0
2025-02-28T07:28:00Z,763.0
2025-02-28T07:29:00Z,787.0
2025-02-28T07:30:00Z,858.0
2025-02-28T07:31:00Z,817.0
2025-02-28T07:32:00Z,963.0
2025-02-28T07:33:00Z,844.0
2025-02-28T07:34:00Z,950.0
2025-02-28T07:35:00Z,1020.0
2025-02-28T07:36:00Z,995.0
2025-02-28T07:37:00Z,911.0
2025-02-28T07:38:00Z,896.0
2025-02-28T07:39:00Z,1046.0
2025-02-28T07:40:00Z,976.0
2025-02-28T07:41:00Z,886.0
2025-02-28T07:42:00Z,952.0
2025-02-28T07:43:00Z,1027.0
2025-02-28T07:44:00Z,1040.0
2025-02-28T07:45:00Z,1049.0
2025-02-28T07:46:00Z,931.0
2025-02-28T07:47:00Z,1046.0
2025-02-28T07:48:00Z,1009.0
2025-02-28T07:49:00Z,907.0
2025-02-28T07:50:00Z,934.0
2025-02-28T07:51:00Z,890.0
2025-02-28T07:52:00Z,832.0
2025-02-28T07:53:00Z,748.0
2025-02-28T07:54:00Z,630.0
2025-02-28T07:55:00Z,535.0
2025-02-28T07:56:00Z,642.0
2025-02-28T07:57:00Z,639.0
2025-02-28T07:58:00Z,762.0
2025-02-28T07:59:00Z,712.0
2025-02-28T08:00:00Z,597.0
2025-02-28T08:01:00Z,710.0
2025-02-28T08:02:00Z,838.0
2025-02-28T08:03:00Z,996.0
2025-02-28T08:04:00Z,759.0
2025-02-28T08:05:00Z,719.0
2025-02-28T08:06:00Z,755.0
2025-02-28T08:07:00Z,759.0
2025-02-28T08:08:00Z,622.0
2025-02-28T08:09:00Z,678.0
2025-02-28T08:10:00Z,730.0
2025-02-28T08:11:00Z,717.0
2025-02-28T08:12:00Z,517.0
2025-02-28T08:13:00Z,833.0
2025-02-28T08:14:00Z,778.0
2025-02-28T08:15:00Z,870.0
2025-02-28T08:16:00Z,828.0
2025-02-28T08:17:00Z,825.0
2025-02-28T08:18:00Z,938.0
2025-02-28T08:19:00Z,932.0
2025-02-28T08:20:00Z,868.0
2025-02-28T08:21:00Z,633.0
2025-02-28T08:22:00Z,716.0
2025-02-28T08:23:00Z,920.0
2025-02-28T08:24:00Z,885.0
2025-02-28T08:25:00Z,947.0
2025-02-28T08:26:00Z,871.0
2025-02-28T08:27:00Z,805.0
2025-02-28T08:28:00Z,787.0
2025-02-28T08:29:00Z,913.0
2025-02-28T08:30:00Z,890.0
2025-02-28T08:31:00Z,886.0
2025-02-28T08:32:00Z,850.0
2025-02-28T08:33:00Z,855.0
2025-02-28T08:34:00Z,937.0
2025-02-28T08:35:00Z,763.0
2025-02-28T08:36:00Z,864.0
2025-02-28T08:37:00Z,987.0
2025-02-28T08:38:00Z,1150.0
2025-02-28T08:39:00Z,1030.0
2025-02-28T08:40:00Z,1009.0
2025-02-28T08:41:00Z,1171.0
2025-02-28T08:42:00Z,1152.0
2025-02-28T08:43:00Z,1208.0
2025-02-28T08:44:00Z,1217.0
2025-02-28T08:45:00Z,1152.0
2025-02-28T08:46:00Z,1147.0
2025-02-28T08:47:00Z,1053.0
2025-02-28T08:48:00Z,851.0
2025-02-28T08:49:00Z,1018.0
2025-02-28T08:50:00Z,1022.0
2025-02-28T08:51:00Z,1215.0
2025-02-28T08:52:00Z,1166.0
2025-02-28T08:53:00Z,1117.0
2025-02-28T08:54:00Z,1178.0
2025-02-28T08:55:00Z,1215.0
2025-02-28T08:56:00Z,1147.0
2025-02-28T08:57:00Z,1117.0
2025-02-28T08:58:00Z,1145.0
2025-02-28T08:59:00Z,1330.0
2025-02-28T09:00:00Z,1050.0
2025-02-28T09:01:00Z,1034.0
2025-02-28T09:02:00Z,1039.0
2025-02-28T09:03:00Z,1119.0
2025-02-28T09:04:00Z,1117.0
2025-02-28T09:05:00Z,987.0
2025-02-28T09:06:00Z,1005.0
2025-02-28T09:07:00Z,1068.0
2025-02-28T09:08:00Z,1203.0
2025-02-28T09:09:00Z,1186.0
2025-02-28T09:10:00Z,1187.0
2025-02-28T09:11:00Z,1084.0
2025-02-28T09:12:00Z,1107.0
2025-02-28T09:13:00Z,1195.0
2025-02-28T09:14:00Z,1125.0
2025-02-28T09:15:00Z,1029.0
2025-02-28T09:16:00Z,1087.0
2025-02-28T09:17:00Z,1092.0
2025-02-28T09:18:00Z,1093.0
2025-02-28T09:19:00Z,1248.0
2025-02-28T09:20:00Z,985.0
2025-02-28T09:21:00Z,1117.0
2025-02-28T09:22:00Z,1046.0
2025-02-28T09:23:00Z,995.0
2025-02-28T09:24:00Z,1018.0
2025-02-28T09:25:00Z,1000.0
2025-02-28T09:26:00Z,935.0
2025-02-28T09:27:00Z,721.0
2025-02-28T09:28:00Z,855.0
2025-02-28T09:29:00Z,1008.0
2025-02-28T09:30:00Z,1074.0
2025-02-28T09:31:00Z,1293.0
2025-02-28T09:32:00Z,1427.0
2025-02-28T09:33:00Z,1368.0
2025-02-28T09:34:00Z,1371.0
2025-02-28T09:35:00Z,1161.0
2025-02-28T09:36:00Z,1421.0
2025-02-28T09:37:00Z,1442.0
2025-02-28T09:38:00Z,1494.0
2025-02-28T09:39:00Z,1628.0
2025-02-28T09:40:00Z,1399.0
2025-02-28T09:41:00Z,1458.0
2025-02-28T09:42:00Z,1485.0
2025-02-28T09:43:00Z,1541.0
2025-02-28T09:44:00Z,1559.0
2025-02-28T09:45:00Z,1380.0
2025-02-28T09:46:00Z,1307.0
2025-02-28T09:47:00Z,1363.0
2025-02-28T09:48:00Z,1416.0
2025-02-28T09:49:00Z,1003.0
2025-02-28T09:50:00Z,1128.0
2025-02-28T09:51:00Z,1145.0
2025-02-28T09:52:00Z,1327.0
2025-02-28T09:53:00Z,1386.0
2025-02-28T09:54:00Z,1220.0
2025-02-28T09:55:00Z,1228.0
2025-02-28T09:56:00Z,1327.0
2025-02-28T09:57:00Z,1176.0
2025-02-28T09:58:00Z,1200.0
2025-02-28T09:59:00Z,1220.0
2025-02-28T10:00:00Z,1145.0
2025-02-28T10:01:00Z,1327.0
2025-02-28T10:02:00Z,1175.0
2025-02-28T10:03:00Z,1137.0
2025-02-28T10:04:00Z,895.0
2025-02-28T10:05:00Z,1113.0
2025-02-28T10:06:00Z,1088.0
2025-02-28T10:07:00Z,1177.0
2025-02-28T10:08:00Z,1486.0
2025-02-28T10:09:00Z,1232.0
2025-02-28T10:10:00Z,1294.0
2025-02-28T10:11:00Z,1238.0
2025-02-28T10:12:00Z,1309.0
2025-02-28T10:13:00Z,1178.0
2025-02-28T10:14:00Z,1179.0
2025-02-28T10:15:00Z,1231.0
2025-02-28T10:16:00Z,1310.0
2025-02-28T10:17:00Z,1255.0
2025-02-28T10:18:00Z,1348.0
2025-02-28T10:19:00Z,1446.0
2025-02-28T10:20:00Z,1439.0
2025-02-28T10:21:00Z,1675.0
2025-02-28T10:22:00Z,1469.0
2025-02-28T10:23:00Z,1276.0
2025-02-28T10:24:00Z,935.0
2025-02-28T10:25:00Z,1249.0
2025-02-28T10:26:00Z,1356.0
2025-02-28T10:27:00Z,1204.0
2025-02-28T10:28:00Z,1076.0
2025-02-28T10:29:00Z,1280.0
2025-02-28T10:30:00Z,1341.0
2025-02-28T10:31:00Z,1258.0
2025-02-28T10:32:00Z,1413.0
2025-02-28T10:33:00Z,1499.0
2025-02-28T10:34:00Z,1469.0
2025-02-28T10:35:00Z,1371.0
2025-02-28T10:36:00Z,1562.0
2025-02-28T10:37:00Z,1793.0
2025-02-28T10:38:00Z,1929.0
2025-02-28T10:39:00Z,1990.0
2025-02-28T10:40:00Z,1863.0
2025-02-28T10:41:00Z,1873.0
2025-02-28T10:42:00Z,1868.0
2025-02-28T10:43:00Z,1662.0
2025-02-28T10:44:00Z,1760.0
2025-02-28T10:45:00Z,1452.0
2025-02-28T10:46:00Z,1689.0
2025-02-28T10:47:00Z,1192.0
2025-02-28T10:48:00Z,1454.0
2025-02-28T10:49:00Z,1395.0
2025-02-28T10:50:00Z,1414.0
2025-02-28T10:51:00Z,1910.0
2025-02-28T10:52:00Z,1660.0
2025-02-28T10:53:00Z,1760.0
2025-02-28T10:54:00Z,1701.0
2025-02-28T10:55:00Z,1915.0
2025-02-28T10:56:00Z,1805.0
2025-02-28T10:57:00Z,1403.0
2025-02-28T10:58:00Z,1712.0
2025-02-28T10:59:00Z,1615.0
2025-02-28T11:00:00Z,1747.0
2025-02-28T11:01:00Z,1577.0
2025-02-28T11:02:00Z,1923.0
2025-02-28T11:03:00Z,1776.0
2025-02-28T11:04:00Z,1305.0
2025-02-28T11:05:00Z,1332.0
2025-02-28T11:06:00Z,1356.0
2025-02-28T11:07:00Z,1580.0
2025-02-28T11:08:00Z,1678.0
2025-02-28T11:09:00Z,2089.0
2025-02-28T11:10:00Z,1816.0
2025-02-28T11:11:00Z,1926.0
2025-02-28T11:12:00Z,1696.0
2025-02-28T11:13:00Z,1709.0
2025-02-28T11:14:00Z,1655.0
2025-02-28T11:15:00Z,1497.0
2025-02-28T11:16:00Z,1519.0
